id,datetime,sentiment,text,lctext
1303339826016550000,8/09/2020 14:30,0.066666667,"Suburban voters are pouring into the Republican Party because of the violence in Democrat run cities and states. If Biden gets in, this violence is â€œcoming to the Suburbsâ€, and FAST. You could say goodbye to your American Dream!","suburban voters are pouring into the republican party because of the violence in democrat run cities and states. if biden gets in, this violence is â€œcoming to the suburbsâ€, and fast. you could say goodbye to your american dream!"
1303368656680740000,8/09/2020 16:24,0.1,"Because of the China Virus, my Campaign, which has raised a lot of money, was forced to spend in order to counter the Fake News reporting about the way we handled it (China Ban, etc.). We did, and are doing, a GREAT job, and have a lot of money left over, much more than 2016....","because of the china virus, my campaign, which has raised a lot of money, was forced to spend in order to counter the fake news reporting about the way we handled it (china ban, etc.). we did, and are doing, a great job, and have a lot of money left over, much more than 2016...."
1303368660736590000,8/09/2020 16:24,0.625,"....Like I did in the 2016 Primaries, if more money is needed, which I doubt it will be, I will put it up!","....like i did in the 2016 primaries, if more money is needed, which i doubt it will be, i will put it up!"
1303371151792510000,8/09/2020 16:34,0.0625,"They are not â€œpeaceful protestersâ€, as Sleepy Joe and the Democrats call them, they are THUGS - And it is all taking place in Democrat run cities. Call me and request Federal HELP. We will solve your problems in a matter of minutes - And thanks to the U.S. Marshalls in Portland!","they are not â€œpeaceful protestersâ€, as sleepy joe and the democrats call them, they are thugs - and it is all taking place in democrat run cities. call me and request federal help. we will solve your problems in a matter of minutes - and thanks to the u.s. marshalls in portland!"
1303380082807820000,8/09/2020 17:10,1,"On my way to the Great State of Florida, see you soon! https://t.co/6Yu6lHhX7f","on my way to the great state of florida, see you soon! https://t.co/6yu6lhhx7f"
1303388826467920000,8/09/2020 17:44,0,https://t.co/GYa5c9mjxs,https://t.co/gya5c9mjxs
1303390488175590000,8/09/2020 17:51,0.008888889,"Democrats admit that President Trumpâ€™s message is â€œworkingâ€ on violence coming to the Suburbs in a Looney Biden Administration. Plus, Biden just doubled down on forcing Federal control of local zoning. This means low income housing and projects. So much for the American Dream!","democrats admit that president trumpâ€™s message is â€œworkingâ€ on violence coming to the suburbs in a looney biden administration. plus, biden just doubled down on forcing federal control of local zoning. this means low income housing and projects. so much for the american dream!"
1303394057926840000,8/09/2020 18:05,0,Sleepy Joe Biden has pledged to ABOLISH Suburban Communites as they currently exist by reinstating Obamaâ€™s radical AFFH Regulation. There goes Suburbia!,sleepy joe biden has pledged to abolish suburban communites as they currently exist by reinstating obamaâ€™s radical affh regulation. there goes suburbia!
1303404366687240000,8/09/2020 18:46,0.3125,Democrats and Sleepy Joeâ€™s Peaceful Protestors! https://t.co/weQBW7xKic,democrats and sleepy joeâ€™s peaceful protestors! https://t.co/weqbw7xkic
1303414862173920000,8/09/2020 19:28,0,https://t.co/iwk7CsnoxI,https://t.co/iwk7csnoxi
1303414932319370000,8/09/2020 19:28,0,https://t.co/M9KcwFEYA7,https://t.co/m9kcwfeya7
1303426544476580000,8/09/2020 20:14,0,"Thank you Jupiter, Florida! https://t.co/B4vcal8lOF","thank you jupiter, florida! https://t.co/b4vcal8lof"
1303429887592660000,8/09/2020 20:27,0,https://t.co/jjBLPzKSbY,https://t.co/jjblpzksby
1303441474923740000,8/09/2020 21:13,0,"Just left Florida, see everyone tonight in North Carolina! #MAGA https://t.co/pf2feOSYX7","just left florida, see everyone tonight in north carolina! #maga https://t.co/pf2feosyx7"
1303443150963340000,8/09/2020 21:20,0,Heading to North Carolina. See you soon!,heading to north carolina. see you soon!
1303451379596290000,8/09/2020 21:53,0,https://t.co/xI1wDz9qh5 https://t.co/rQ8Sl8iBwN,https://t.co/xi1wdz9qh5 https://t.co/rq8sl8ibwn
