id,datetime,sentiment,text,tokens...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213149809378570000,3/01/2020 17:27,-0.066666667,"....followed, and then it was withdrawn. The Democrats argument for impeachment has not gotten stronger over the last few weeks. As Senator Josh Hawley just said, heâ€™s going to enter a Motion to Dismiss the Impeachment Trial because itâ€™s never actually been brought to trial.â€",followed,and,then,it,was,withdrawn,the,democrats,argument,for,impeachment,has,not,gotten,stronger,over,the,last,few,weeks,as,senator,josh,hawley,just,said,hes,going,to,enter,a,motion,to,dismiss,the,impeachment,trial,because,its,never,actually,been,brought,to,trial,,,,,,,,,,,,,,
1213149807948310000,3/01/2020 17:27,0.05,"....different places that he thought were wasteful, and the career staff, as they always do, pushed back, and made a million excuses as to why they could not possibly stop spending U.S. taxpayer money. There was a back &amp, forth over the legal arguments, &amp, the W.H. decision was....",different,places,that,he,thought,were,wasteful,and,the,career,staff,as,they,always,do,pushed,back,and,made,a,million,excuses,as,to,why,they,could,not,possibly,stop,spending,us,taxpayer,money,there,was,a,back,&,forth,over,the,legal,arguments,&,the,wh,decision,was,,,,,,,,,,
1213316570606420000,4/01/2020 4:29,0,https://t.co/qOi7mpKcHY,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213474475250980000,4/01/2020 14:57,0,95% Approval Rating in the Republican Party. Thank you!,95,approval,rating,in,the,republican,party,thank,you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213585005986950000,4/01/2020 22:16,0.139285714,"As hard as I work, &amp, as successful as our Country has become with our Economy, our Military &amp, everything else, it is ashame that the Democrats make us spend so much time &amp, money on this ridiculous Impeachment Lite Hoax. I should be able to devote all of my time to the REAL USA!",as,hard,as,i,work,&,as,successful,as,our,country,has,become,with,our,economy,our,military,&,everything,else,it,is,ashame,that,the,democrats,make,us,spend,so,much,time,&,money,on,this,ridiculous,impeachment,lite,hoax,i,should,be,able,to,devote,all,of,my,time,to,the,real,usa,,,,
1213593965838160000,4/01/2020 22:52,0.005952381,"Iran is talking very boldly about targeting certain USA assets as revenge for our ridding the world of their terrorist leader who had just killed an American, &amp, badly wounded many others, not to mention all of the people he had killed over his lifetime, including recently....",iran,is,talking,very,boldly,about,targeting,certain,usa,assets,as,revenge,for,our,ridding,the,world,of,their,terrorist,leader,who,had,just,killed,an,american,&,badly,wounded,many,others,not,to,mention,all,of,the,people,he,had,killed,over,his,lifetime,including,recently,,,,,,,,,,,,
1213593975732520000,4/01/2020 22:52,0.109541667,"....targeted 52 Iranian sites (representing the 52 American hostages taken by Iran many years ago), some at a very high level &amp, important to Iran &amp,  the Iranian culture, and those targets, and Iran itself, WILL BE HIT VERY FAST AND VERY HARD. The USA wants no more threats!",targeted,52,iranian,sites,representing,the,52,american,hostages,taken,by,iran,many,years,ago,some,at,a,very,high,level,&,important,to,iran,&,the,iranian,culture,and,those,targets,and,iran,itself,will,be,hit,very,fast,and,very,hard,the,usa,wants,no,more,threats,,,,,,,,,,
1213593974679760000,4/01/2020 22:52,0.125,"....hundreds of Iranian protesters. He was already attacking our Embassy, and preparing for additional hits in other locations. Iran has been nothing but problems for many years. Let this serve as a WARNING that if Iran strikes any Americans, or American assets, we have.....",hundreds,of,iranian,protesters,he,was,already,attacking,our,embassy,and,preparing,for,additional,hits,in,other,locations,iran,has,been,nothing,but,problems,for,many,years,let,this,serve,as,a,warning,that,if,iran,strikes,any,americans,or,american,assets,we,have,,,,,,,,,,,,,,,
1213684819537930000,5/01/2020 4:53,0.102777778,"They attacked us, &amp, we hit back. If they attack again, which I would strongly advise them not to do, we will hit them harder than they have ever been hit before! https://t.co/qI5RfWsSCH",they,attacked,us,&,we,hit,back,if,they,attack,again,which,i,would,strongly,advise,them,not,to,do,we,will,hit,them,harder,than,they,have,ever,been,hit,before,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,
1213689342272650000,5/01/2020 5:11,0.137373737,"The United States just spent Two Trillion Dollars on Military Equipment. We are the biggest and by far the BEST in the World! If Iran attacks an American Base, or any American, we will be sending some of that brand new beautiful equipment their way...and without hesitation!",the,united,states,just,spent,two,trillion,dollars,on,military,equipment,we,are,the,biggest,and,by,far,the,best,in,the,world,if,iran,attacks,an,american,base,or,any,american,we,will,be,sending,some,of,that,brand,new,beautiful,equipment,their,wayand,without,hesitation,,,,,,,,,,,,
1213919480574810000,5/01/2020 20:25,0.145833333,"These Media Posts will serve as notification to the United States Congress that should Iran strike any U.S. person or target, the United States will quickly &amp, fully strike back, &amp, perhaps in a disproportionate manner. Such legal notice is not required, but is given nevertheless!",these,media,posts,will,serve,as,notification,to,the,united,states,congress,that,should,iran,strike,any,us,person,or,target,the,united,states,will,quickly,&,fully,strike,back,&,perhaps,in,a,disproportionate,manner,such,legal,notice,is,not,required,but,is,given,nevertheless,,,,,,,,,,,,,
1214179198056690000,6/01/2020 13:37,-0.183333333,"â€œThe reason they are not sending the Articles of Impeachment to the Senate is that they are so weak and so pathetic.â€ @LindseyGrahamSC @MariaBartiromo  The great Scam continues. To be spending time on this political Hoax at this moment in our history, when I am so busy, is sad!",the,reason,they,are,not,sending,the,articles,of,impeachment,to,the,senate,is,that,they,are,so,weak,and,so,pathetic,@lindseygrahamsc,@mariabartiromo,the,great,scam,continues,to,be,spending,time,on,this,political,hoax,at,this,moment,in,our,history,when,i,am,so,busy,is,sad,,,,,,,,,,
1214193106423360000,6/01/2020 14:32,0.088888889,"The Impeachment Hoax, just a continuation of the Witch Hunt which started even before I won the Election, must end quickly. Read the Transcripts, see the Ukrainian Presidentâ€™s strong statement, NO PRESSURE - get this done. It is a con game by the Dems to help with the Election!",the,impeachment,hoax,just,a,continuation,of,the,witch,hunt,which,started,even,before,i,won,the,election,must,end,quickly,read,the,transcripts,see,the,ukrainian,presidents,strong,statement,no,pressure,-,get,this,done,it,is,a,con,game,by,the,dems,to,help,with,the,election,,,,,,,,,,
1214194843246820000,6/01/2020 14:39,0.333333333,"Congress &amp, the President should not be wasting their time and energy on a continuation of the totally partisan Impeachment Hoax when we have so many important matters pending. 196 to ZERO was the Republican House vote, &amp, we got 3 Dems. This was not what the Founders had in mind!",congress,&,the,president,should,not,be,wasting,their,time,and,energy,on,a,continuation,of,the,totally,partisan,impeachment,hoax,when,we,have,so,many,important,matters,pending,196,to,zero,was,the,republican,house,vote,&,we,got,3,dems,this,was,not,what,the,founders,had,in,mind,,,,,,,,
1214197038063240000,6/01/2020 14:48,0,IRAN WILL NEVER HAVE A NUCLEAR WEAPON!,iran,will,never,have,a,nuclear,weapon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214230745176320000,6/01/2020 17:02,0,https://t.co/XpVY2bnR5a,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214230768278470000,6/01/2020 17:02,0,https://t.co/dXBP7Srsqy,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214333364204970000,6/01/2020 23:50,0.125,"The homeless situation in Los Angeles, San Francisco, and many other Democrat Party run cities throughout the Nation is a state and local problem, not a federal problem....",the,homeless,situation,in,los,angeles,san,francisco,and,many,other,democrat,party,run,cities,throughout,the,nation,is,a,state,and,local,problem,not,a,federal,problem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214333364997690000,6/01/2020 23:50,0.104166667,"....If however, the city or state in question is willing to acknowledge responsibility, and politely asks for help from the Federal Government, we will very seriously consider getting involved in order to make those poorly run Democrat Cities Great Again!",if,however,the,city,or,state,in,question,is,willing,to,acknowledge,responsibility,and,politely,asks,for,help,from,the,federal,government,we,will,very,seriously,consider,getting,involved,in,order,to,make,those,poorly,run,democrat,cities,great,again,,,,,,,,,,,,,,,,,,,
1214345971947180000,7/01/2020 0:40,0.75,"Amazing analysis &amp, reporting! https://t.co/OC2sbdIAdh",amazing,analysis,&,reporting,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214513143021520000,7/01/2020 11:44,0.625,We love Australia! https://t.co/BFPCNS81YR,we,love,australia,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214538977866330000,7/01/2020 13:27,0.8,Great interview with @GOPLeader Kevin McCarthy on @foxandfriends. â€œThere was no urgency with the Articles of Impeachment because there was no case.â€,great,interview,with,@gopleader,kevin,mccarthy,on,@foxandfriends,there,was,no,urgency,with,the,articles,of,impeachment,because,there,was,no,case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214624074724460000,7/01/2020 19:05,0.27,"Had a very good meeting with @kbsalsaud of Saudi Arabia. We discussed Trade, Military, Oil Prices, Security, and Stability in the Middle East!",had,a,very,good,meeting,with,@kbsalsaud,of,saudi,arabia,we,discussed,trade,military,oil,prices,security,and,stability,in,the,middle,east,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214739853025390000,8/01/2020 2:45,0.242857143,"All is well! Missiles launched from Iran at two military bases located in Iraq. Assessment of casualties &amp, damages taking place now. So far, so good! We have the most powerful and well equipped military anywhere in the world, by far! I will be making a statement tomorrow morning.",all,is,well,missiles,launched,from,iran,at,two,military,bases,located,in,iraq,assessment,of,casualties,&,damages,taking,place,now,so,far,so,good,we,have,the,most,powerful,and,well,equipped,military,anywhere,in,the,world,by,far,i,will,be,making,a,statement,tomorrow,morning,,,,,,,,,,
1215285845336500000,9/01/2020 2:54,-0.1,"STOCK MARKET AT ALL-TIME HIGH! HOW ARE YOUR 409Kâ€™S DOING? 70%, 80%, 90% up? Only 50% up! What are you doing wrong?",stock,market,at,all-time,high,how,are,your,409ks,doing,70,80,90,up,only,50,up,what,are,you,doing,wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215238707848060000,9/01/2020 11:47,0,See you later! https://t.co/zHEYAnMVLh,see,you,later,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215239172195270000,9/01/2020 11:49,0,WINRED! https://t.co/G09J35NVVj,winred,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215241520804250000,9/01/2020 11:58,1,Great! https://t.co/9QByhxRluS,great,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215247278631530000,9/01/2020 12:21,-0.09375,"Pelosi doesnâ€™t want to hand over The Articles of Impeachment, which were fraudulently produced by corrupt politicians like Shifty Schiff in the first place, because after all of these years of investigations and persecution, they show no crimes and are a joke and a scam!",pelosi,doesnt,want,to,hand,over,the,articles,of,impeachment,which,were,fraudulently,produced,by,corrupt,politicians,like,shifty,schiff,in,the,first,place,because,after,all,of,these,years,of,investigations,and,persecution,they,show,no,crimes,and,are,a,joke,and,a,scam,,,,,,,,,,,,,,
1215247978966980000,9/01/2020 12:24,0,Thank you Elise! https://t.co/Y4Hb0zf5jk,thank,you,elise,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215249474043480000,9/01/2020 12:30,0,PRESIDENTIAL HARASSMENT!,presidential,harassment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215262141634300000,9/01/2020 13:20,-0.75,"Hope that all House Republicans will vote against Crazy Nancy Pelosiâ€™s War Powers Resolution. Also, remember her â€œspeed &amp, rushâ€ in getting the Impeachment Hoax voted on &amp, done. Well, she never sent the Articles to the Senate. Just another Democrat fraud. Presidential Harassment!",hope,that,all,house,republicans,will,vote,against,crazy,nancy,pelosis,war,powers,resolution,also,remember,her,speed,&,rush,in,getting,the,impeachment,hoax,voted,on,&,done,well,she,never,sent,the,articles,to,the,senate,just,another,democrat,fraud,presidential,harassment,,,,,,,,,,,,,,,
1215268595707540000,9/01/2020 13:46,-0.0875,"Breaking News: The Fifth Circuit Court of Appeals just reversed a lower court decision &amp, gave us the go ahead to build one of the largest sections of the desperately needed Southern Border Wall, Four Billion Dollars. Entire Wall is under construction or getting ready to start!",breaking,news,the,fifth,circuit,court,of,appeals,just,reversed,a,lower,court,decision,&,gave,us,the,go,ahead,to,build,one,of,the,largest,sections,of,the,desperately,needed,southern,border,wall,four,billion,dollars,entire,wall,is,under,construction,or,getting,ready,to,start,,,,,,,,,,,,
1215287261606050000,9/01/2020 15:00,0.7,U.S. Cancer Death Rate Lowest In Recorded History! A lot of good news coming out of this Administration.,us,cancer,death,rate,lowest,in,recorded,history,a,lot,of,good,news,coming,out,of,this,administration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215299143066940000,9/01/2020 15:47,-0.1,"STOCK MARKET AT ALL-TIME HIGH! HOW ARE YOUR 401Kâ€™S DOING? 70%, 80%, 90% up? Only 50% up! What are you doing wrong?",stock,market,at,all-time,high,how,are,your,401ks,doing,70,80,90,up,only,50,up,what,are,you,doing,wrong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215332241523580000,9/01/2020 17:59,1,Happy National Law Enforcement Appreciation Day! #LESM https://t.co/kNN3RetVvs,happy,national,law,enforcement,appreciation,day,#lesm,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215395413630450000,9/01/2020 22:10,0,Thank you! https://t.co/SqRmH7vP39,thank,you,http://...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
