id,word,total_count,total_frequency,trump_count,trump_frequency
8081,VOTE!,53,0.000392619,53,0.000392619
43,another,52,0.000385211,52,0.000385211
197,won,52,0.000385211,52,0.000385211
719,Nancy,52,0.000385211,52,0.000385211
763,under,52,0.000385211,52,0.000385211
869,@foxandfriends,52,0.000385211,52,0.000385211
1339,fight,52,0.000385211,52,0.000385211
1508,every,52,0.000385211,52,0.000385211
3474,When,52,0.000385211,52,0.000385211
325,number,51,0.000377803,51,0.000377803
343,could,51,0.000377803,51,0.000377803
403,everything,51,0.000377803,51,0.000377803
661,All,51,0.000377803,51,0.000377803
678,well,51,0.000377803,51,0.000377803
1493,give,51,0.000377803,51,0.000377803
1933,TO,51,0.000377803,51,0.000377803
1125,through,50,0.000370395,50,0.000370395
1154,until,50,0.000370395,50,0.000370395
1617,thing,50,0.000370395,50,0.000370395
321,off,49,0.000362987,49,0.000362987
670,taking,49,0.000362987,49,0.000362987
1289,Many,49,0.000362987,49,0.000362987
3648,North,49,0.000362987,49,0.000362987
481,AND,48,0.000355579,48,0.000355579
540,Senate,48,0.000355579,48,0.000355579
1014,Administration,48,0.000355579,48,0.000355579
1832,day,48,0.000355579,48,0.000355579
1902,wonâ€™t,48,0.000355579,48,0.000355579
199,lost,47,0.000348171,47,0.000348171
425,USA,47,0.000348171,47,0.000348171
606,Party,47,0.000348171,47,0.000348171
785,What,47,0.000348171,47,0.000348171
1526,BIG,47,0.000348171,47,0.000348171
1996,â€”,47,0.000348171,47,0.000348171
3874,November,47,0.000348171,47,0.000348171
365,As,46,0.000340763,46,0.000340763
856,open,46,0.000340763,46,0.000340763
1016,stand,46,0.000340763,46,0.000340763
1310,today,46,0.000340763,46,0.000340763
1645,Iâ€™m,46,0.000340763,46,0.000340763
1869,away,46,0.000340763,46,0.000340763
1927,2016,46,0.000340763,46,0.000340763
2476,having,46,0.000340763,46,0.000340763
5946,Government,46,0.000340763,46,0.000340763
8205,ballots,46,0.000340763,46,0.000340763
10714,@USDOT,46,0.000340763,46,0.000340763
31,On,45,0.000333356,45,0.000333356
168,Presidential,45,0.000333356,45,0.000333356
691,Pelosi,45,0.000333356,45,0.000333356
1023,allow,45,0.000333356,45,0.000333356
1931,IS,45,0.000333356,45,0.000333356
2422,come,45,0.000333356,45,0.000333356
2681,real,45,0.000333356,45,0.000333356
187,OF,44,0.000325948,44,0.000325948
