id,x,y,cluster_id,text,year,clusterColor,,,
8.34E+17,23.88323021,-24.93777657,0,Give the public a break - The FAKE NEWS media is trying to say that large scale immigration in Sweden is working out just beautifully. NOT!,2017,"rgb(0, 14, 137)",,,
8.34E+17,31.34383392,-15.70679092,0,"One thing I will say about Rep. Keith Ellison, in his fight to lead the DNC, is that he was the one who predicted early that I would win!",2017,"rgb(0, 14, 137)",,,
8.35E+17,4.740499973,-12.49359322,0,Seven people shot and killed yesterday in Chicago. What is going on there - totally out of control. Chicago needs help!,2017,"rgb(0, 14, 137)",,,
8.35E+17,14.60491371,-1.344574928,0,"""The FBI is totally unable to stop the national security """"leakers"""" that have permeated our government for a long time. They can't even......""",2017,"rgb(0, 14, 137)",,,
8.35E+17,31.64487076,-35.1565094,0,find the leakers within the FBI itself. Classified information is being given to media that could have a devastating effect on U.S. FIND NOW,2017,"rgb(0, 14, 137)",,,
8.35E+17,18.00184059,18.2994194,0,Going to CPAC!,2017,"rgb(0, 14, 137)",,,
8.35E+17,17.44297218,-6.324028015,0,Maybe the millions of people who voted to MAKE AMERICA GREAT AGAIN should have their own rally. It would be the biggest of them all!,2017,"rgb(0, 14, 137)",,,
8.36E+17,-27.86830521,-7.976650715,0,I will not be attending the White House Correspondents' Association Dinner this year. Please wish everyone well and have a great evening!,2017,"rgb(0, 14, 137)",,,
8.36E+17,2.441563129,24.73545074,0,"For first time the failing @nytimes will take an ad (a bad one) to help save its failing reputation. Try reporting accurately &amp, fairly!",2017,"rgb(0, 14, 137)",,,
8.36E+17,-6.457564354,44.26572037,0,I will be interviewed on @foxandfriends at 6:00 A.M. Enjoy!,2017,"rgb(0, 14, 137)",,,
8.37E+17,32.88261414,-8.708035469,0,"Jeff Sessions is an honest man. He did not say anything wrong. He could have stated his response more accurately, but it was clearly not....",2017,"rgb(0, 14, 137)",,,
8.37E+17,2.918781281,-27.11008453,0,...intentional. This whole narrative is a way of saving face for Democrats losing an election that everyone thought they were supposed.....,2017,"rgb(0, 14, 137)",,,
8.37E+17,13.84900188,-40.29665756,0,"...to win. The Democrats are overplaying their hand. They lost the election, and now they have lost their grip on reality. The real story...",2017,"rgb(0, 14, 137)",,,
8.38E+17,44.16838837,-20.14963531,0,It is so pathetic that the Dems have still not approved my full Cabinet.,2017,"rgb(0, 14, 137)",,,
8.38E+17,35.31259155,-3.124965191,0,Is it true the DNC would not allow the FBI access to check server or other equipment after learning it was hacked? Can that be possible?,2017,"rgb(0, 14, 137)",,,
8.38E+17,35.67189789,-18.11926651,0,"""Who was it that secretly said to Russian President, """"Tell Vladimir that after the election I'll have more flexibility?"""" @foxandfriends""",2017,"rgb(0, 14, 137)",,,
8.39E+17,1.491857409,-5.674255848,0,I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down!,2017,"rgb(0, 14, 137)",,,
8.39E+17,24.93792725,-29.5289402,0,"Don't let the FAKE NEWS tell you that there is big infighting in the Trump Admin. We are getting along great, and getting major things done!",2017,"rgb(0, 14, 137)",,,
