id,x,y,cluster_id,text,tokens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.21359E+18,-8.334910393,19.44267464,3,"....hundreds of Iranian protesters. He was already attacking our Embassy, and preparing for additional hits in other locations. Iran has been nothing but problems for many years. Let this serve as a WARNING that if Iran strikes any Americans, or American assets, we have.....",....hundreds,of,Iranian,protesters.,He,was,already,attacking,our,"Embassy,",and,preparing,for,additional,hits,in,other,locations.,Iran,has,been,nothing,but,problems,for,many,years.,Let,this,serve,as,a,WARNING,that,if,Iran,strikes,any,"Americans,",or,American,"assets,",we,have.....,,,,,,,,,,,,,,,
1.21359E+18,-21.80751991,11.75282192,7,"....targeted 52 Iranian sites (representing the 52 American hostages taken by Iran many years ago), some at a very high level &amp, important to Iran &amp,  the Iranian culture, and those targets, and Iran itself, WILL BE HIT VERY FAST AND VERY HARD. The USA wants no more threats!",....targeted,52,Iranian,sites,(representing,the,52,American,hostages,taken,by,Iran,many,years,"ago),",some,at,a,very,high,level,"&amp,",important,to,Iran,"&amp,",the,Iranian,"culture,",and,those,"targets,",and,Iran,"itself,",WILL,BE,HIT,VERY,FAST,AND,VERY,HARD.,The,USA,wants,no,more,threats!,,,,,,,,,,
1.21368E+18,32.21708298,15.65347767,3,"They attacked us, &amp, we hit back. If they attack again, which I would strongly advise them not to do, we will hit them harder than they have ever been hit before! https://t.co/qI5RfWsSCH",They,attacked,"us,","&amp,",we,hit,back.,If,they,attack,"again,",which,I,would,strongly,advise,them,not,to,"do,",we,will,hit,them,harder,than,they,have,ever,been,hit,before!,https://t.co/qI5RfWsSCH,,,,,,,,,,,,,,,,,,,,,,,,,,
1.21369E+18,-21.31771088,12.00407982,7,"The United States just spent Two Trillion Dollars on Military Equipment. We are the biggest and by far the BEST in the World! If Iran attacks an American Base, or any American, we will be sending some of that brand new beautiful equipment their way...and without hesitation!",The,United,States,just,spent,Two,Trillion,Dollars,on,Military,Equipment.,We,are,the,biggest,and,by,far,the,BEST,in,the,World!,If,Iran,attacks,an,American,"Base,",or,any,"American,",we,will,be,sending,some,of,that,brand,new,beautiful,equipment,their,way...and,without,hesitation!,,,,,,,,,,,,
1.21392E+18,-1.868204951,9.144935608,3,"These Media Posts will serve as notification to the United States Congress that should Iran strike any U.S. person or target, the United States will quickly &amp, fully strike back, &amp, perhaps in a disproportionate manner. Such legal notice is not required, but is given nevertheless!",These,Media,Posts,will,serve,as,notification,to,the,United,States,Congress,that,should,Iran,strike,any,U.S.,person,or,"target,",the,United,States,will,quickly,"&amp,",fully,strike,"back,","&amp,",perhaps,in,a,disproportionate,manner.,Such,legal,notice,is,not,"required,",but,is,given,nevertheless!,,,,,,,,,,,,,
1.21418E+18,15.70169067,6.04665184,3,"â€œThe reason they are not sending the Articles of Impeachment to the Senate is that they are so weak and so pathetic.â€ @LindseyGrahamSC @MariaBartiromo  The great Scam continues. To be spending time on this political Hoax at this moment in our history, when I am so busy, is sad!",â€œThe,reason,they,are,not,sending,the,Articles,of,Impeachment,to,the,Senate,is,that,they,are,so,weak,and,so,pathetic.â€,@LindseyGrahamSC,@MariaBartiromo,The,great,Scam,continues.,To,be,spending,time,on,this,political,Hoax,at,this,moment,in,our,"history,",when,I,am,so,"busy,",is,sad!,,,,,,,,,,
1.21419E+18,-14.14612198,2.301693201,7,"The Impeachment Hoax, just a continuation of the Witch Hunt which started even before I won the Election, must end quickly. Read the Transcripts, see the Ukrainian Presidentâ€™s strong statement, NO PRESSURE - get this done. It is a con game by the Dems to help with the Election!",The,Impeachment,"Hoax,",just,a,continuation,of,the,Witch,Hunt,which,started,even,before,I,won,the,"Election,",must,end,quickly.,Read,the,"Transcripts,",see,the,Ukrainian,Presidentâ€™s,strong,"statement,",NO,PRESSURE,-,get,this,done.,It,is,a,con,game,by,the,Dems,to,help,with,the,Election!,,,,,,,,,,
1.21419E+18,-5.234243393,1.061497569,3,"Congress &amp, the President should not be wasting their time and energy on a continuation of the totally partisan Impeachment Hoax when we have so many important matters pending. 196 to ZERO was the Republican House vote, &amp, we got 3 Dems. This was not what the Founders had in mind!",Congress,"&amp,",the,President,should,not,be,wasting,their,time,and,energy,on,a,continuation,of,the,totally,partisan,Impeachment,Hoax,when,we,have,so,many,important,matters,pending.,196,to,ZERO,was,the,Republican,House,"vote,","&amp,",we,got,3,Dems.,This,was,not,what,the,Founders,had,in,mind!,,,,,,,,
1.2142E+18,22.48161316,6.834693432,3,IRAN WILL NEVER HAVE A NUCLEAR WEAPON!,IRAN,WILL,NEVER,HAVE,A,NUCLEAR,WEAPON!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.21433E+18,-19.17996979,-8.522556305,7,"The homeless situation in Los Angeles, San Francisco, and many other Democrat Party run cities throughout the Nation is a state and local problem, not a federal problem....",The,homeless,situation,in,Los,"Angeles,",San,"Francisco,",and,many,other,Democrat,Party,run,cities,throughout,the,Nation,is,a,state,and,local,"problem,",not,a,federal,problem....,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
